palestine,City,Country,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Current Description
62,Tiksi,RU,71.6872,128.8694,-31.5,84,100,4.81,overcast clouds
63,Busselton,AU,-33.65,115.3333,80.01,49,0,3.0,clear sky
64,Faya,SA,18.3851,42.4509,53.6,29,0,1.36,clear sky
65,Saldanha,ZA,-33.0117,17.9442,64.63,88,29,11.95,scattered clouds
66,Port-Gentil,GA,-0.7193,8.7815,80.28,82,100,8.28,overcast clouds
67,Beringovskiy,RU,63.05,179.3167,-17.07,83,0,9.64,clear sky
68,Cairns,AU,-16.9167,145.7667,89.01,66,40,19.57,scattered clouds
69,Geraldton,AU,-28.7667,114.6,96.8,17,0,20.71,clear sky
70,Lebu,CL,-37.6167,-73.65,57.04,90,96,6.06,overcast clouds
71,Longyearbyen,SJ,78.2186,15.6401,-0.4,50,20,19.57,few clouds
72,Severo-Kurilsk,RU,50.6789,156.125,24.76,90,100,16.06,overcast clouds
73,Pailon,BO,-17.65,-62.75,75.2,88,90,12.66,overcast clouds
74,Newburn,GB,54.9876,-1.7442,37.99,93,75,4.61,broken clouds
75,Kirensk,RU,57.7853,108.1119,-35.5,79,44,3.56,scattered clouds
76,Luderitz,NA,-26.6481,15.1594,65.17,53,0,22.37,clear sky
77,Masvingo,ZW,-20.0637,30.8277,66.6,97,100,2.86,light rain
78,Mashhad,IR,36.297,59.6062,42.8,49,0,4.61,clear sky
79,Darnah,LY,32.767,22.6367,60.35,63,34,21.32,scattered clouds
80,Walvis Bay,NA,-22.9575,14.5053,66.99,82,16,9.22,few clouds
81,Nanortalik,GL,60.1432,-45.2371,32.13,91,99,8.5,overcast clouds
82,Ahipara,NZ,-35.1667,173.1667,67.82,66,71,3.94,broken clouds
83,Abu Samrah,SY,35.3029,37.1841,42.69,72,7,14.58,clear sky
84,Provideniya,RU,64.3833,-173.3,-7.46,81,3,4.32,clear sky
85,Alta Floresta,BR,-9.8756,-56.0861,72.3,95,97,1.34,overcast clouds
86,Caravelas,BR,-17.7125,-39.2481,74.88,87,0,4.43,clear sky
87,Thunder Bay,CA,48.4001,-89.3168,3.99,78,1,2.3,clear sky
88,Kodiak,US,57.79,-152.4072,35.6,64,75,21.85,broken clouds
89,Hobart,AU,-42.8794,147.3294,72.0,64,75,10.36,broken clouds
90,Chuy,UY,-33.6971,-53.4616,67.73,92,4,1.74,clear sky
91,Yellowknife,CA,62.456,-114.3525,-18.0,76,1,9.22,clear sky
92,Changchun,CN,43.88,125.3228,-0.4,71,82,8.95,broken clouds
93,Pangnirtung,CA,66.1451,-65.7125,-9.4,77,1,5.75,clear sky
94,Berezhany,UA,49.45,24.9333,28.58,96,100,8.86,overcast clouds
95,Port Said,EG,31.2565,32.2841,53.6,66,40,13.8,scattered clouds
96,Arraial Do Cabo,BR,-22.9661,-42.0278,77.0,83,47,25.1,scattered clouds
97,Laiyang,CN,36.9758,120.7136,44.01,76,0,4.12,clear sky
98,Otane,NZ,-39.8833,176.6333,64.0,59,86,1.01,overcast clouds
99,Biak,ID,-0.9131,122.8766,83.86,60,100,0.74,overcast clouds
100,Alofi,NU,-19.0595,-169.9187,80.6,83,100,9.22,moderate rain
101,Kapaa,US,22.0752,-159.319,75.2,73,75,16.11,light rain
102,Edson,CA,53.5835,-116.4356,5.0,92,1,2.3,clear sky
103,Mulege,MX,26.8833,-111.9833,58.3,75,35,1.36,scattered clouds
104,Yelizovo,RU,53.1873,158.3805,24.8,50,100,15.66,overcast clouds
105,Ostrovnoy,RU,68.0531,39.5131,8.42,94,100,16.93,light snow
106,Lucea,JM,18.451,-78.1736,75.0,83,75,5.75,broken clouds
107,Georgetown,MY,5.4112,100.3354,82.99,65,20,8.05,few clouds
108,Souillac,MU,-20.5167,57.5167,78.8,89,75,4.61,broken clouds
109,Mecca,SA,21.4267,39.8261,64.02,48,0,9.8,clear sky
110,Barrow,US,71.2906,-156.7887,-9.4,70,90,10.36,overcast clouds
111,Vila Velha,BR,-20.3297,-40.2925,78.8,78,40,5.75,scattered clouds
112,Brae,GB,60.3964,-1.353,33.8,75,29,8.05,scattered clouds
113,Prenzlau,DE,53.3167,13.8667,30.99,82,100,9.8,light snow
114,Tsiroanomandidy,MG,-18.7667,46.0333,65.93,95,5,2.37,clear sky
115,Chipinge,ZW,-20.1883,32.6236,63.32,100,23,3.89,few clouds
116,Klaksvik,FO,62.2266,-6.589,32.0,74,90,2.3,overcast clouds
117,Bengkulu,ID,-3.8004,102.2655,84.69,63,100,2.35,overcast clouds
118,Hofn,IS,64.2539,-15.2082,32.32,80,54,5.61,broken clouds
119,Labuhan,ID,-6.8844,112.2051,79.27,86,100,16.6,overcast clouds
120,Salalah,OM,17.0151,54.0924,69.8,64,40,4.61,scattered clouds
121,Puerto Ayora,EC,-0.7393,-90.3518,78.01,91,44,5.99,light rain
122,Teya,RU,60.3778,92.6267,-37.44,77,73,3.8,broken clouds
123,Grand Gaube,MU,-20.0064,57.6608,79.0,82,2,1.01,clear sky
124,Zhangye,CN,38.9342,100.4517,26.28,69,0,7.56,clear sky
125,Nikolskoye,RU,59.7035,30.7861,30.2,93,90,8.95,light snow
126,Platanos,GR,37.6667,21.6167,57.2,88,100,3.44,overcast clouds
127,Ouadda,CF,8.0777,22.4007,71.31,20,38,8.5,scattered clouds
128,Idrinskoye,RU,54.3708,92.1358,16.18,94,100,10.85,overcast clouds
129,Inhambane,MZ,-23.865,35.3833,77.14,86,79,3.6,broken clouds
130,Chaihe,CN,44.7667,129.7,-4.7,89,98,1.66,overcast clouds
131,Balsas,BR,-7.5325,-46.0356,74.52,84,99,3.18,light rain
132,Kathmandu,NP,27.7167,85.3167,41.0,87,20,2.3,mist
133,Acarau,BR,-2.8856,-40.12,79.38,83,100,12.75,overcast clouds
134,Igrim,RU,63.1906,64.4162,-21.28,85,100,6.89,overcast clouds
135,Hasaki,JP,35.7333,140.8333,43.0,24,20,19.57,few clouds
136,Cranbourne,AU,-38.1,145.2833,70.0,68,89,5.01,overcast clouds
137,Nyagan,RU,62.1406,65.3936,-21.28,85,100,8.77,overcast clouds
138,Torbay,CA,47.6666,-52.7314,28.99,93,90,19.57,overcast clouds
139,Bonthe,SL,7.5264,-12.505,77.2,88,3,3.74,clear sky
140,Mehamn,NO,71.0357,27.8492,24.17,96,100,18.54,light snow
141,Kaitangata,NZ,-46.2817,169.8464,57.99,72,36,10.0,scattered clouds
142,Puqi,CN,29.7167,113.8833,50.9,62,100,1.45,overcast clouds
143,Suez,EG,29.9737,32.5263,47.88,67,0,2.71,clear sky
144,Buchanan,LR,5.8808,-10.0467,77.0,94,40,4.68,mist
145,Bantogon,PH,6.5333,124.0333,82.71,64,62,4.74,broken clouds
146,Bethel,US,41.3712,-73.414,14.0,52,1,8.05,clear sky
147,Meadow Lake,US,34.8014,-106.5436,48.2,40,75,16.11,broken clouds
148,Victoria,HK,22.2855,114.1577,66.0,65,0,1.99,clear sky
149,Le Mars,US,42.7942,-96.1656,30.0,93,90,17.27,overcast clouds
150,Krasnoselkup,RU,65.7,82.4667,-34.73,79,16,2.59,few clouds
151,Sosnovoborsk,RU,56.1325,93.3589,-2.2,78,40,11.18,snow
152,Clyde River,CA,70.4692,-68.5914,-20.2,83,1,4.61,clear sky
153,Tasiilaq,GL,65.6145,-37.6368,15.8,53,90,25.32,light snow
154,Caibarien,CU,22.5206,-79.4669,66.2,63,40,8.05,scattered clouds
155,Palmer,US,42.1584,-72.3287,12.99,52,20,6.91,few clouds
156,Slave Lake,CA,55.2834,-114.769,3.2,85,1,6.91,clear sky
157,Sri Aman,MY,1.2376,111.4621,78.8,94,40,1.14,light rain
158,Nakusp,CA,50.2499,-117.8023,30.2,93,92,1.14,overcast clouds
159,Tsabong,BW,-26.0217,22.401,73.47,67,7,4.16,clear sky
160,New Norfolk,AU,-42.7826,147.0587,72.0,64,98,1.99,overcast clouds
161,Namibe,AO,-15.1961,12.1522,73.22,75,100,8.52,overcast clouds
162,Katsuura,JP,35.1333,140.3,44.6,26,20,14.97,few clouds
163,Linxia,CN,35.6003,103.2064,27.14,75,100,2.84,overcast clouds
164,Naze,JP,28.3667,129.4833,60.8,48,40,16.11,scattered clouds
165,Margate,GB,51.3813,1.3862,46.99,90,100,7.09,overcast clouds
166,Mitsamiouli,KM,-11.3847,43.2844,82.06,73,80,9.89,broken clouds
167,Norman Wells,CA,65.282,-126.8329,-34.6,67,40,4.23,scattered clouds
168,Nelson Bay,AU,-32.7167,152.15,82.4,65,100,6.91,overcast clouds
169,Olden,NO,61.8364,6.8064,28.0,84,100,4.0,light snow
170,Vostok,RU,46.4856,135.8833,-5.39,87,99,4.09,overcast clouds
171,Port-Cartier,CA,50.0334,-66.8654,10.4,67,0,8.05,clear sky
172,Yumen,CN,40.2833,97.2,26.62,68,0,21.23,clear sky
173,Moerai,PF,-22.4333,-151.3333,81.0,70,12,13.35,light rain
174,Isangel,VU,-19.55,169.2667,87.8,62,40,11.5,scattered clouds
175,Aberdeen,GB,57.1437,-2.0981,28.99,93,52,4.61,broken clouds
176,Port Alfred,ZA,-33.5906,26.891,64.0,86,6,1.99,clear sky
177,Heinola,FI,61.2056,26.0381,24.8,93,90,10.36,light snow
178,Beeskow,DE,52.1667,14.25,28.0,80,100,10.27,light snow
179,Ca Mau,VN,9.1769,105.15,83.59,54,46,8.72,scattered clouds
180,Ruteng,ID,-8.6136,120.4721,68.49,100,97,5.17,overcast clouds
181,Lucapa,AO,-8.4192,20.7447,63.48,98,100,1.72,overcast clouds
182,Ucluelet,CA,48.9329,-125.5528,41.0,93,90,14.97,overcast clouds
183,Pevek,RU,69.7008,170.3133,-29.94,85,16,3.44,few clouds
184,Fortuna,US,40.5982,-124.1573,48.0,81,90,5.75,overcast clouds
185,Stornoway,GB,58.2093,-6.3865,37.4,75,20,9.22,few clouds
186,Poum,NC,-20.2333,164.0167,81.27,72,9,9.04,clear sky
187,Kruisfontein,ZA,-34.0033,24.7314,57.0,89,0,3.76,clear sky
188,Mahebourg,MU,-20.4081,57.7,78.8,89,75,4.61,broken clouds
189,Yukamenskoye,RU,57.8865,52.2416,22.57,98,94,10.83,light snow
190,Nanhai,CN,30.1282,111.7784,54.32,53,68,1.41,broken clouds
191,Pangkalanbuun,ID,-2.6833,111.6167,79.14,79,100,5.35,overcast clouds
192,Shenjiamen,CN,29.9576,122.298,48.02,68,0,12.75,clear sky
193,Santa Barbara,US,34.7333,-120.0343,48.0,87,90,2.28,overcast clouds
194,Qaanaaq,GL,77.484,-69.3632,-13.77,62,0,5.3,clear sky
195,Kurchum,KZ,48.5722,83.6542,-4.77,92,83,1.21,broken clouds
196,Port Elizabeth,ZA,-33.918,25.5701,59.0,82,0,3.44,clear sky
197,Zhaotong,CN,27.3167,103.7167,35.42,86,99,5.64,overcast clouds
198,Whitehorse,CA,60.7161,-135.0538,0.0,78,75,10.36,broken clouds
199,Vrangel,RU,42.7297,133.0839,13.93,82,67,12.39,broken clouds
200,Rio Gallegos,AR,-51.6226,-69.2181,48.2,66,40,12.66,scattered clouds
201,Son La,VN,21.3167,103.9,59.45,76,80,2.95,broken clouds
202,Wilmington,US,34.2257,-77.9447,32.0,64,1,5.12,clear sky
203,San Jeronimo,PE,-11.9472,-75.2829,46.38,81,100,4.61,overcast clouds
204,Japura,ID,-0.3167,102.35,81.37,74,99,4.97,overcast clouds
205,Surovikino,RU,48.6078,42.8486,34.54,88,89,18.07,overcast clouds
206,Castro,BR,-24.7911,-50.0119,62.65,96,100,3.78,light rain
207,Brownsville,US,25.9018,-97.4975,66.2,72,1,8.05,clear sky
208,Mount Isa,AU,-20.7333,139.5,100.4,23,79,10.36,broken clouds
209,Posse,BR,-14.0931,-46.3694,71.46,63,28,4.63,scattered clouds
210,Carnarvon,AU,-24.8667,113.6333,102.2,27,0,21.85,clear sky
211,Rocha,UY,-34.4833,-54.3333,66.11,89,4,2.62,clear sky
212,Yantai,CN,37.5333,121.4,38.89,70,0,5.14,clear sky
213,Broome,US,42.2506,-75.833,10.0,85,90,4.61,mist
214,Mar Del Plata,AR,-38.0023,-57.5575,66.99,88,77,8.86,mist
215,Narasapur,IN,16.45,81.6667,74.82,78,69,5.53,broken clouds
216,Ponta Do Sol,PT,32.6667,-17.1,57.99,76,11,3.0,few clouds
217,Oum Hadjer,TD,13.2954,19.6966,66.13,26,18,10.51,few clouds
218,Atar,MR,20.5169,-13.0499,65.17,27,30,11.34,scattered clouds
219,Nome,US,64.5011,-165.4064,-0.4,55,1,18.41,clear sky
220,Ancud,CL,-41.8697,-73.8203,54.0,71,0,11.5,clear sky
221,Dikson,RU,73.5069,80.5464,-33.39,84,97,7.94,overcast clouds
222,Chokurdakh,RU,70.6333,147.9167,-26.84,85,100,8.88,overcast clouds
223,La Ronge,CA,55.1001,-105.2842,8.6,85,66,4.61,broken clouds
224,Tessalit,ML,20.1986,1.0114,60.1,29,0,11.7,clear sky
225,Durango,MX,24.8333,-104.8333,57.09,57,31,4.68,scattered clouds
226,Sioux Lookout,CA,50.1001,-91.917,8.6,72,75,5.75,broken clouds
227,Duldurga,RU,50.6761,113.5931,-11.36,85,100,2.8,overcast clouds
228,Parauna,BR,-16.9478,-50.4486,70.41,83,98,1.66,overcast clouds
229,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,68.7,94,0,1.34,clear sky
230,Roche-La-Moliere,FR,45.4341,4.3228,46.4,71,0,8.05,clear sky
231,Mafra,BR,-26.1114,-49.8053,65.48,95,100,2.86,overcast clouds
232,Udachnyy,RU,66.4167,112.4,-35.63,80,100,5.1,overcast clouds
233,Adrar,MR,20.5022,-10.0711,62.69,27,0,10.8,clear sky
234,Tura,IN,25.5198,90.2201,59.22,47,0,1.59,clear sky
235,Cherskiy,RU,68.75,161.3,-33.93,82,9,3.22,clear sky
236,Maniitsoq,GL,65.4167,-52.9,19.92,76,0,4.14,clear sky
237,Phalaborwa,ZA,-23.943,31.1411,71.6,100,79,2.3,broken clouds
238,Ambon,ID,-3.6954,128.1814,89.6,58,20,9.22,few clouds
239,Matadi,CD,-5.8167,13.45,73.78,91,100,0.27,overcast clouds
240,Bayji,IQ,34.9311,43.487,45.99,76,0,5.95,clear sky
241,Ostashkov,RU,57.1467,33.1075,21.6,97,100,7.56,light snow
242,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.68,80,16,21.81,few clouds
243,Samarai,PG,-10.6167,150.6667,84.04,74,100,7.11,overcast clouds
244,Portland,US,45.5234,-122.6762,45.0,76,90,8.05,overcast clouds
245,Juegang,CN,32.3174,121.1855,50.0,58,0,6.6,clear sky
246,Constitucion,CL,-35.3333,-72.4167,61.45,95,100,8.1,overcast clouds
247,Cidreira,BR,-30.1811,-50.2056,75.16,89,39,4.92,scattered clouds
248,Kapoeta,SS,4.7717,33.5903,82.0,33,76,9.53,broken clouds
249,Khawhai,IN,23.3667,93.1167,58.69,36,0,0.31,clear sky
250,North Bend,US,43.4065,-124.2243,44.6,81,90,12.66,overcast clouds
251,Saint-Augustin,CA,51.226,-58.6502,13.35,91,29,11.77,scattered clouds
252,Banda Aceh,ID,5.5577,95.3222,80.42,77,98,15.46,overcast clouds
253,Bakel,SN,14.905,-12.4568,70.61,17,0,8.72,clear sky
254,Deputatskiy,RU,69.3,139.9,-29.11,87,100,2.33,overcast clouds
255,Ossora,RU,59.2353,163.0719,8.37,94,100,16.31,light snow
256,Mizan Teferi,ET,6.9833,35.5833,66.81,61,100,2.86,overcast clouds
257,Kholtoson,RU,50.2981,103.3097,12.31,88,99,3.13,overcast clouds
258,Huai Yot,TH,7.7893,99.6348,84.99,65,20,4.61,few clouds
259,Aksu,CN,41.1231,80.2644,21.34,78,0,2.13,clear sky
260,Peabiru,BR,-23.9128,-52.3431,75.2,88,75,5.75,broken clouds
261,Bubaque,GW,11.2833,-15.8333,78.3,66,0,10.16,clear sky
262,Honningsvag,NO,70.9821,25.9704,24.49,93,100,14.38,overcast clouds
263,Vera Cruz,BR,-12.6333,-41.0333,77.0,69,0,5.75,clear sky
264,Kirakira,SB,-10.4544,161.9205,84.11,75,100,10.71,overcast clouds
265,Machida,JP,35.5403,139.4508,46.0,19,20,3.44,few clouds
266,Ust-Kuyga,RU,70.0167,135.6,-38.88,78,100,0.54,overcast clouds
267,Selenduma,RU,50.9131,106.2406,2.23,89,97,3.24,overcast clouds
268,Atambua,ID,-9.1061,124.8925,78.49,84,100,10.74,overcast clouds
269,Yenagoa,NG,4.9247,6.2642,77.45,92,91,2.62,overcast clouds
270,Coffs Harbour,AU,-30.3,153.1333,80.01,73,90,8.05,overcast clouds
271,Lorengau,PG,-2.0226,147.2712,85.08,75,100,10.69,overcast clouds
272,Santo Antonio Do Ica,BR,-3.1022,-67.9397,74.89,88,9,0.76,clear sky
273,Lata,PT,40.1629,-8.3327,57.99,94,100,1.99,overcast clouds
274,Puerto Carreno,CO,6.189,-67.4859,80.58,60,100,11.3,overcast clouds
275,Tevaitoa,PF,-16.7833,-151.5,80.85,68,100,4.45,light rain
276,Bulri,PK,24.8667,68.3333,56.86,36,0,1.7,clear sky
277,Otradnoye,RU,59.7775,30.8181,30.2,93,90,8.95,light snow
278,Faanui,PF,-16.4833,-151.75,81.0,67,100,4.09,overcast clouds
279,Kajaani,FI,64.2273,27.7285,14.0,85,90,9.22,light snow
280,Litovko,RU,49.2361,135.1742,0.0,87,100,3.47,overcast clouds
281,Puri,IN,19.8,85.85,66.2,82,20,3.94,mist
282,San Quintin,MX,30.4833,-115.95,56.3,77,1,9.06,clear sky
283,Jiexiu,CN,37.0244,111.9125,38.25,56,37,8.46,scattered clouds
284,Ola,RU,59.5833,151.2833,-11.56,82,49,12.77,scattered clouds
285,Saint George,US,37.1041,-113.5841,44.6,65,75,6.91,light rain
286,Hay River,CA,60.8156,-115.7999,-20.2,76,2,1.14,clear sky
287,Kavaratti,IN,10.5669,72.642,80.24,73,2,11.7,clear sky
288,Westport,US,41.1415,-73.3579,19.4,45,1,14.97,clear sky
289,Thaba-Tseka,LS,-29.522,28.6084,51.53,75,93,3.11,overcast clouds
290,Koster,ZA,-25.863,26.8976,61.92,96,94,5.3,light rain
291,Antigonish,CA,45.6169,-61.9986,28.0,78,100,8.99,overcast clouds
292,Vozhega,RU,60.4725,40.2213,15.33,97,100,6.85,overcast clouds
293,Rio Cuarto,AR,-33.1307,-64.3499,66.99,94,93,10.0,overcast clouds
294,Helmond,NL,51.4817,5.6611,37.99,86,90,8.05,overcast clouds
295,Ulaanbaatar,MN,47.9077,106.8832,-2.2,71,40,7.18,scattered clouds
296,Linhares,BR,-19.3911,-40.0722,71.74,94,0,1.34,clear sky
297,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,72.77,89,100,2.89,overcast clouds
298,Alagir,RU,43.0422,44.2222,35.01,93,95,4.47,overcast clouds
299,Padang,ID,-0.9492,100.3543,77.0,88,75,2.3,broken clouds
300,Balykshi,KZ,47.0667,51.8667,21.2,100,77,6.71,mist
301,Novozybkov,RU,52.5396,31.9275,24.8,93,90,15.66,overcast clouds
302,Sorland,NO,67.667,12.6934,29.43,88,86,8.68,overcast clouds
303,Assai,BR,-23.3733,-50.8414,71.6,100,75,9.22,broken clouds
304,Okha,RU,53.5739,142.9478,-0.58,87,100,11.56,overcast clouds
305,Balkhash,KZ,46.844,74.9804,12.2,85,0,15.66,clear sky
306,Viedma,AR,-40.8135,-62.9967,57.99,72,0,11.43,clear sky
307,Yavas,RU,54.4159,42.8491,29.95,98,100,13.85,snow
308,Kourou,GF,5.1552,-52.6478,77.0,100,75,9.22,mist
309,Inuvik,CA,68.3499,-133.7218,-27.4,68,77,2.3,broken clouds
310,Khash,IR,28.2211,61.2158,44.46,45,0,2.51,clear sky
311,Cayenne,GF,4.9333,-52.3333,78.8,94,75,5.75,broken clouds
312,Porbandar,IN,21.6422,69.6093,50.0,76,26,6.91,smoke
313,Zelenoborsk,RU,61.4669,64.0333,-16.26,86,100,8.79,overcast clouds
314,Helena,US,46.5927,-112.0361,34.0,86,75,3.42,mist
315,Sola,VU,-13.8833,167.55,87.8,74,75,5.75,broken clouds
316,Flinders,AU,-34.5833,150.8552,80.01,81,85,4.0,overcast clouds
317,Codrington,AU,-38.2667,141.9667,62.98,71,100,12.41,overcast clouds
318,Mongu,ZM,-15.2484,23.1274,68.27,91,100,3.98,overcast clouds
319,Cururupu,BR,-1.8283,-44.8683,77.09,87,93,4.05,overcast clouds
320,Lagoa,PT,39.05,-27.9833,59.79,82,100,19.1,overcast clouds
321,Napa,US,38.4832,-122.3344,48.99,89,80,2.13,broken clouds
322,Wuxi,CN,31.5689,120.2886,50.0,75,0,7.67,clear sky
323,Linares,CL,-35.85,-71.6,60.93,93,100,2.98,moderate rain
324,Prince Rupert,CA,54.3161,-130.3201,37.4,70,90,8.05,light rain
325,Luganville,VU,-15.5333,167.1667,84.02,74,98,14.65,overcast clouds
326,Gwembe,ZM,-16.4975,27.6069,63.32,95,100,1.57,overcast clouds
327,Zavyalovo,RU,54.5053,82.4484,14.0,79,90,15.66,snow
328,Aykhal,RU,66.0,111.5,-36.2,80,100,7.78,overcast clouds
329,Caxias,PT,38.7031,-9.2767,59.0,100,75,13.8,broken clouds
330,Digri,PK,25.1558,69.1113,57.11,31,0,3.62,clear sky
331,Yuryevets,RU,57.3201,43.1041,22.51,97,92,12.68,light snow
332,Fort Nelson,CA,58.8053,-122.7002,-11.2,77,75,3.44,broken clouds
333,Beitbridge,ZW,-22.2167,30.0,74.16,83,91,11.86,overcast clouds
334,Ilulissat,GL,69.2167,-51.1,-0.4,55,0,4.61,clear sky
335,Krasnoborsk,RU,61.5598,45.934,19.2,97,100,6.11,light snow
336,Uruzgan,AF,32.8333,66.0,36.27,60,29,6.93,scattered clouds
337,Burnie,AU,-41.0667,145.9167,69.01,61,79,20.0,broken clouds
338,Seoul,KR,37.5683,126.9778,32.0,64,20,5.75,few clouds
339,Constantine,DZ,36.365,6.6147,48.2,71,0,2.3,clear sky
340,Zanjan,IR,36.6736,48.4787,34.16,90,95,14.36,overcast clouds
341,Chernyshevskiy,RU,63.0128,112.4714,-42.99,81,68,3.49,broken clouds
342,Whitianga,NZ,-36.8333,175.7,67.28,47,14,11.07,few clouds
343,Yulara,AU,-25.2406,130.9889,89.6,35,100,20.71,overcast clouds
344,Maiduguri,NG,11.8464,13.1603,63.75,38,0,8.61,clear sky
345,Qostanay,KZ,53.1667,63.5833,12.2,79,0,11.18,clear sky
346,New Scone,GB,56.4194,-3.4051,33.01,89,76,1.01,broken clouds
347,Saurimo,AO,-9.6608,20.3916,63.32,96,87,2.57,light rain
348,Thompson,CA,55.7435,-97.8558,10.4,85,90,5.75,light snow
349,Milledgeville,US,33.0801,-83.2321,39.0,74,0,2.91,clear sky
